creator_assigned_number,creator_gender,most_uploaded_genre,creator_signup_country,total_play_count,total_play_count_male,total_play_count_female,total_play_count_custom_gender,total_play_count_null_gender,plays_by_males_BR,pct_plays_by_males_BR,plays_by_females_BR,pct_plays_by_females_BR,plays_by_custom_gender_BR,pct_plays_by_custom_gender_BR,plays_by_null_gender_BR,pct_plays_by_null_gender_BR,total_play_count_BR,plays_by_males_DE,pct_plays_by_males_DE,plays_by_females_DE,pct_plays_by_females_DE,plays_by_custom_gender_DE,pct_plays_by_custom_gender_DE,plays_by_null_gender_DE,pct_plays_by_null_gender_DE,total_play_count_DE,plays_by_males_EG,pct_plays_by_males_EG,plays_by_females_EG,pct_plays_by_females_EG,plays_by_custom_gender_EG,pct_plays_by_custom_gender_EG,plays_by_null_gender_EG,pct_plays_by_null_gender_EG,total_play_count_EG,plays_by_males_GB,pct_plays_by_males_GB,plays_by_females_GB,pct_plays_by_females_GB,plays_by_custom_gender_GB,pct_plays_by_custom_gender_GB,plays_by_null_gender_GB,pct_plays_by_null_gender_GB,total_play_count_GB,plays_by_males_US,pct_plays_by_males_US,plays_by_females_US,pct_plays_by_females_US,plays_by_custom_gender_US,pct_plays_by_custom_gender_US,plays_by_null_gender_US,pct_plays_by_null_gender_US,total_play_count_US,plays_by_males_VN,pct_plays_by_males_VN,plays_by_females_VN,pct_plays_by_females_VN,plays_by_custom_gender_VN,pct_plays_by_custom_gender_VN,plays_by_null_gender_VN,pct_plays_by_null_gender_VN,total_play_count_VN
311,male,5,GB,297,217,48,25,7,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,212,78.23,48,17.71,5,1.85,6,2.21,271,5,19.23,0,0.0,20,76.92,1,3.85,26,0,,0,,0,,0,,0
312,,5,US,186,93,40,23,30,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,70,51.85,19,14.07,22,16.3,24,17.78,135,23,45.1,21,41.18,1,1.96,6,11.76,51,0,,0,,0,,0,,0
389,,5,GB,135,65,70,0,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,65,48.15,70,51.85,0,0.0,0,0.0,135,0,,0,,0,,0,,0,0,,0,,0,,0,,0
398,female,5,GB,119,59,39,20,1,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,55,48.25,39,34.21,20,17.54,0,0.0,114,4,80.0,0,0.0,0,0.0,1,20.0,5,0,,0,,0,,0,,0
411,male,5,GB,1165,993,134,2,36,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,993,85.24,134,11.5,2,0.17,36,3.09,1165,0,,0,,0,,0,,0,0,,0,,0,,0,,0
536,male,5,GB,313,229,44,4,36,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,228,73.08,44,14.1,4,1.28,36,11.54,312,1,100.0,0,0.0,0,0.0,0,0.0,1,0,,0,,0,,0,,0
579,male,5,GB,169,116,35,5,13,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,115,68.45,35,20.83,5,2.98,13,7.74,168,1,100.0,0,0.0,0,0.0,0,0.0,1,0,,0,,0,,0,,0
580,male,5,US,485,290,149,6,40,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,58,58.0,35,35.0,2,2.0,5,5.0,100,232,60.26,114,29.61,4,1.04,35,9.09,385,0,,0,,0,,0,,0
674,,5,GB,165,144,17,1,3,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,138,86.79,17,10.69,1,0.63,3,1.89,159,6,100.0,0,0.0,0,0.0,0,0.0,6,0,,0,,0,,0,,0
764,male,5,US,584,437,20,37,90,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,109,78.42,9,6.47,21,15.11,0,0.0,139,328,73.71,11,2.47,16,3.6,90,20.22,445,0,,0,,0,,0,,0
776,,5,US,596,433,104,22,37,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,60,75.0,19,23.75,0,0.0,1,1.25,80,373,72.29,85,16.47,22,4.26,36,6.98,516,0,,0,,0,,0,,0
830,male,5,GB,199,133,55,0,11,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,118,71.95,39,23.78,0,0.0,7,4.27,164,15,42.86,16,45.71,0,0.0,4,11.43,35,0,,0,,0,,0,,0
845,,5,GB,284,129,118,1,36,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,122,46.04,109,41.13,1,0.38,33,12.45,265,7,36.84,9,47.37,0,0.0,3,15.79,19,0,,0,,0,,0,,0
849,male,5,GB,196,99,70,11,16,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,49,54.44,34,37.78,1,1.11,6,6.67,90,50,47.17,36,33.96,10,9.43,10,9.43,106,0,,0,,0,,0,,0
874,male,5,US,121,67,47,3,4,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,1,2.38,41,97.62,0,0.0,0,0.0,42,66,83.54,6,7.59,3,3.8,4,5.06,79,0,,0,,0,,0,,0
928,male,5,GB,111,92,16,1,2,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,92,82.88,16,14.41,1,0.9,2,1.8,111,0,,0,,0,,0,,0,0,,0,,0,,0,,0
950,,5,GB,112,73,31,0,8,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,66,64.08,31,30.1,0,0.0,6,5.83,103,7,77.78,0,0.0,0,0.0,2,22.22,9,0,,0,,0,,0,,0
951,female,5,US,237,127,88,5,17,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,33,56.9,20,34.48,1,1.72,4,6.9,58,94,52.51,68,37.99,4,2.23,13,7.26,179,0,,0,,0,,0,,0
971,male,5,US,515,382,77,2,54,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,72,60.0,27,22.5,0,0.0,21,17.5,120,310,78.48,50,12.66,2,0.51,33,8.35,395,0,,0,,0,,0,,0
1074,male,5,US,135,89,32,0,14,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,72,67.92,23,21.7,0,0.0,11,10.38,106,17,58.62,9,31.03,0,0.0,3,10.34,29,0,,0,,0,,0,,0
1099,male,5,GB,617,486,63,10,58,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,472,78.28,63,10.45,10,1.66,58,9.62,603,14,100.0,0,0.0,0,0.0,0,0.0,14,0,,0,,0,,0,,0
1299,,5,GB,174,151,16,0,7,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,146,86.39,16,9.47,0,0.0,7,4.14,169,5,100.0,0,0.0,0,0.0,0,0.0,5,0,,0,,0,,0,,0
1379,male,5,US,166,135,19,0,12,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,45,80.36,6,10.71,0,0.0,5,8.93,56,90,81.82,13,11.82,0,0.0,7,6.36,110,0,,0,,0,,0,,0
1407,female,5,US,325,251,38,5,31,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,34,80.95,6,14.29,0,0.0,2,4.76,42,217,76.68,32,11.31,5,1.77,29,10.25,283,0,,0,,0,,0,,0
1423,,5,GB,162,131,12,0,19,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,127,80.38,12,7.59,0,0.0,19,12.03,158,4,100.0,0,0.0,0,0.0,0,0.0,4,0,,0,,0,,0,,0
1447,male,5,US,397,71,291,2,33,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,50,17.92,208,74.55,1,0.36,20,7.17,279,21,17.8,83,70.34,1,0.85,13,11.02,118,0,,0,,0,,0,,0
1533,male,5,GB,295,295,0,0,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,295,100.0,0,0.0,0,0.0,0,0.0,295,0,,0,,0,,0,,0,0,,0,,0,,0,,0
1535,,5,GB,178,47,111,0,20,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,47,26.4,111,62.36,0,0.0,20,11.24,178,0,,0,,0,,0,,0,0,,0,,0,,0,,0
1607,male,5,GB,211,171,21,5,14,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,95,97.94,1,1.03,1,1.03,0,0.0,97,76,66.67,20,17.54,4,3.51,14,12.28,114,0,,0,,0,,0,,0
1683,female,5,GB,174,32,142,0,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,32,18.39,142,81.61,0,0.0,0,0.0,174,0,,0,,0,,0,,0,0,,0,,0,,0,,0
1698,,5,US,108,95,7,1,5,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,93,87.74,7,6.6,1,0.94,5,4.72,106,2,100.0,0,0.0,0,0.0,0,0.0,2,0,,0,,0,,0,,0
1716,male,5,US,208,82,33,87,6,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,4,5.0,0,0.0,76,95.0,0,0.0,80,78,60.94,33,25.78,11,8.59,6,4.69,128,0,,0,,0,,0,,0
1749,female,5,GB,116,29,84,1,2,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,14,26.92,37,71.15,0,0.0,1,1.92,52,15,23.44,47,73.44,1,1.56,1,1.56,64,0,,0,,0,,0,,0
1780,,5,US,447,330,67,19,31,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,34,77.27,9,20.45,0,0.0,1,2.27,44,296,73.45,58,14.39,19,4.71,30,7.44,403,0,,0,,0,,0,,0
1990,,5,GB,136,105,26,1,4,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,105,77.21,26,19.12,1,0.74,4,2.94,136,0,,0,,0,,0,,0,0,,0,,0,,0,,0
2062,female,5,US,188,188,0,0,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,186,100.0,0,0.0,0,0.0,0,0.0,186,2,100.0,0,0.0,0,0.0,0,0.0,2,0,,0,,0,,0,,0
2114,male,5,US,342,212,78,31,21,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,25,53.19,20,42.55,2,4.26,0,0.0,47,187,63.39,58,19.66,29,9.83,21,7.12,295,0,,0,,0,,0,,0
2245,,5,GB,119,74,0,0,45,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,73,61.86,0,0.0,0,0.0,45,38.14,118,1,100.0,0,0.0,0,0.0,0,0.0,1,0,,0,,0,,0,,0
2275,female,5,US,141,13,126,2,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,4,3.42,113,96.58,0,0.0,0,0.0,117,9,37.5,13,54.17,2,8.33,0,0.0,24,0,,0,,0,,0,,0
2549,male,5,US,548,108,377,7,56,0,,0,,0,,0,,0,0,0.0,2,100.0,0,0.0,0,0.0,2,0,,0,,0,,0,,0,2,3.85,20,38.46,0,0.0,30,57.69,52,106,21.46,355,71.86,7,1.42,26,5.26,494,0,,0,,0,,0,,0
2551,,5,GB,908,662,185,30,31,0,,0,,0,,0,,0,0,0.0,1,33.33,0,0.0,2,66.67,3,0,,0,,0,,0,,0,654,72.91,184,20.51,30,3.34,29,3.23,897,8,100.0,0,0.0,0,0.0,0,0.0,8,0,,0,,0,,0,,0
2562,male,5,US,641,527,75,10,29,0,,0,,0,,0,,0,0,0.0,6,100.0,0,0.0,0,0.0,6,0,,0,,0,,0,,0,79,79.0,17,17.0,1,1.0,3,3.0,100,448,83.74,52,9.72,9,1.68,26,4.86,535,0,,0,,0,,0,,0
2574,male,5,US,292,126,148,0,18,0,,0,,0,,0,,0,0,0.0,0,0.0,0,0.0,5,100.0,5,0,,0,,0,,0,,0,125,44.64,142,50.71,0,0.0,13,4.64,280,1,14.29,6,85.71,0,0.0,0,0.0,7,0,,0,,0,,0,,0
2594,male,5,US,305,171,98,11,25,0,,0,,0,,0,,0,0,0.0,5,71.43,1,14.29,1,14.29,7,0,,0,,0,,0,,0,48,54.55,34,38.64,2,2.27,4,4.55,88,122,58.37,59,28.23,8,3.83,20,9.57,209,1,100.0,0,0.0,0,0.0,0,0.0,1
2595,male,5,US,383,231,120,4,28,0,,0,,0,,0,,0,0,0.0,1,100.0,0,0.0,0,0.0,1,0,,0,,0,,0,,0,116,64.09,53,29.28,2,1.1,10,5.52,181,115,57.21,66,32.84,2,1.0,18,8.96,201,0,,0,,0,,0,,0
2607,female,5,US,482,113,207,120,42,0,,0,,0,,0,,0,0,0.0,5,71.43,2,28.57,0,0.0,7,0,,0,,0,,0,,0,5,10.2,28,57.14,15,30.61,1,2.04,49,108,25.35,174,40.85,103,24.18,41,9.62,426,0,,0,,0,,0,,0
2635,,5,US,110,32,73,0,5,0,,0,,0,,0,,0,0,0.0,1,100.0,0,0.0,0,0.0,1,0,,0,,0,,0,,0,26,28.57,64,70.33,0,0.0,1,1.1,91,6,33.33,8,44.44,0,0.0,4,22.22,18,0,,0,,0,,0,,0
2675,male,5,GB,263,49,94,96,24,0,,0,,0,,0,,0,0,0.0,7,87.5,0,0.0,1,12.5,8,0,,0,,0,,0,,0,8,15.38,11,21.15,32,61.54,1,1.92,52,41,20.2,76,37.44,64,31.53,22,10.84,203,0,,0,,0,,0,,0
2687,,5,GB,134,48,77,2,7,0,,0,,0,,0,,0,0,0.0,2,50.0,0,0.0,2,50.0,4,0,,0,,0,,0,,0,16,23.53,51,75.0,0,0.0,1,1.47,68,32,51.61,24,38.71,2,3.23,4,6.45,62,0,,0,,0,,0,,0
2695,female,5,US,259,28,214,8,9,0,,0,,0,,0,,0,0,0.0,6,100.0,0,0.0,0,0.0,6,1,100.0,0,0.0,0,0.0,0,0.0,1,16,15.69,83,81.37,2,1.96,1,0.98,102,11,7.33,125,83.33,6,4.0,8,5.33,150,0,,0,,0,,0,,0
2696,,5,US,213,114,68,10,21,0,,0,,0,,0,,0,0,0.0,2,25.0,0,0.0,6,75.0,8,0,,0,,0,,0,,0,38,97.44,1,2.56,0,0.0,0,0.0,39,76,45.78,65,39.16,10,6.02,15,9.04,166,0,,0,,0,,0,,0
2741,male,5,US,1188,788,308,28,64,0,,0,,0,,0,,0,0,0.0,0,0.0,1,100.0,0,0.0,1,0,,0,,0,,0,,0,167,56.8,119,40.48,3,1.02,5,1.7,294,621,69.54,189,21.16,24,2.69,59,6.61,893,0,,0,,0,,0,,0
2758,female,5,US,1184,750,360,20,54,0,,0,,0,,0,,0,0,0.0,3,100.0,0,0.0,0,0.0,3,0,,0,,0,,0,,0,612,66.96,244,26.7,15,1.64,43,4.7,914,138,51.69,113,42.32,5,1.87,11,4.12,267,0,,0,,0,,0,,0
2767,female,5,GB,237,54,167,6,10,0,,0,,0,,0,,0,0,0.0,0,0.0,1,100.0,0,0.0,1,0,,0,,0,,0,,0,47,21.66,158,72.81,5,2.3,7,3.23,217,7,36.84,9,47.37,0,0.0,3,15.79,19,0,,0,,0,,0,,0
2799,,5,US,397,89,161,86,61,0,,0,,0,,0,,0,0,0.0,3,60.0,2,40.0,0,0.0,5,0,,0,,0,,0,,0,14,18.92,45,60.81,12,16.22,3,4.05,74,75,23.58,113,35.53,72,22.64,58,18.24,318,0,,0,,0,,0,,0
2801,,5,US,204,137,12,16,39,0,,0,,0,,0,,0,0,0.0,0,0.0,0,0.0,7,100.0,7,0,,0,,0,,0,,0,32,84.21,0,0.0,3,7.89,3,7.89,38,105,66.04,12,7.55,13,8.18,29,18.24,159,0,,0,,0,,0,,0
2844,male,5,GB,124,82,23,2,17,0,,0,,0,,0,,0,0,0.0,3,100.0,0,0.0,0,0.0,3,0,,0,,0,,0,,0,40,88.89,5,11.11,0,0.0,0,0.0,45,42,55.26,15,19.74,2,2.63,17,22.37,76,0,,0,,0,,0,,0
2894,male,5,GB,240,154,69,6,11,0,,0,,0,,0,,0,0,0.0,2,100.0,0,0.0,0,0.0,2,0,0.0,1,100.0,0,0.0,0,0.0,1,92,64.34,42,29.37,2,1.4,7,4.9,143,62,65.96,24,25.53,4,4.26,4,4.26,94,0,,0,,0,,0,,0
2917,male,5,US,123,38,74,3,8,0,,0,,0,,0,,0,0,0.0,1,100.0,0,0.0,0,0.0,1,0,,0,,0,,0,,0,5,12.2,36,87.8,0,0.0,0,0.0,41,33,40.74,37,45.68,3,3.7,8,9.88,81,0,,0,,0,,0,,0
2918,,5,VN,122,24,84,1,13,0,,0,,0,,0,,0,0,0.0,2,50.0,0,0.0,2,50.0,4,0,,0,,0,,0,,0,8,17.78,26,57.78,0,0.0,11,24.44,45,16,21.92,56,76.71,1,1.37,0,0.0,73,0,,0,,0,,0,,0
2922,female,5,DE,261,125,61,5,70,0,,0,,0,,0,,0,0,0.0,2,18.18,0,0.0,9,81.82,11,0,,0,,0,,0,,0,25,65.79,3,7.89,1,2.63,9,23.68,38,100,47.17,56,26.42,4,1.89,52,24.53,212,0,,0,,0,,0,,0
2931,,5,DE,103,63,29,1,10,0,,0,,0,,0,,0,0,0.0,1,100.0,0,0.0,0,0.0,1,0,,0,,0,,0,,0,26,65.0,12,30.0,0,0.0,2,5.0,40,37,59.68,16,25.81,1,1.61,8,12.9,62,0,,0,,0,,0,,0
2979,female,5,US,105,25,60,4,16,0,,0,,0,,0,,0,0,0.0,4,80.0,0,0.0,1,20.0,5,0,,0,,0,,0,,0,8,17.78,36,80.0,0,0.0,1,2.22,45,17,31.48,19,35.19,4,7.41,14,25.93,54,0,0.0,1,100.0,0,0.0,0,0.0,1
2985,male,5,US,503,378,100,4,21,0,,0,,0,,0,,0,0,0.0,3,75.0,0,0.0,1,25.0,4,0,,0,,0,,0,,0,344,77.83,81,18.33,2,0.45,15,3.39,442,34,59.65,16,28.07,2,3.51,5,8.77,57,0,,0,,0,,0,,0
3000,male,5,EG,106,16,90,0,0,0,,0,,0,,0,,0,0,0.0,1,100.0,0,0.0,0,0.0,1,2,100.0,0,0.0,0,0.0,0,0.0,2,3,3.45,84,96.55,0,0.0,0,0.0,87,11,68.75,5,31.25,0,0.0,0,0.0,16,0,,0,,0,,0,,0
3005,female,5,US,104,37,59,1,7,0,,0,,0,,0,,0,0,0.0,1,100.0,0,0.0,0,0.0,1,0,,0,,0,,0,,0,20,39.22,26,50.98,0,0.0,5,9.8,51,17,32.69,32,61.54,1,1.92,2,3.85,52,0,,0,,0,,0,,0
3123,,5,US,104,37,60,2,5,0,,0,,0,,0,,0,0,0.0,2,40.0,0,0.0,3,60.0,5,0,,0,,0,,0,,0,11,25.0,31,70.45,1,2.27,1,2.27,44,26,50.98,23,45.1,1,1.96,1,1.96,51,0,0.0,4,100.0,0,0.0,0,0.0,4
3134,male,5,GB,882,726,42,16,98,0,,0,,0,,0,,0,0,0.0,0,0.0,3,100.0,0,0.0,3,0,,0,,0,,0,,0,53,100.0,0,0.0,0,0.0,0,0.0,53,673,81.48,42,5.08,13,1.57,98,11.86,826,0,,0,,0,,0,,0
3174,,5,US,536,386,91,5,54,0,,0,,0,,0,,0,0,0.0,1,50.0,0,0.0,1,50.0,2,0,,0,,0,,0,,0,38,63.33,19,31.67,0,0.0,3,5.0,60,348,73.42,71,14.98,5,1.05,50,10.55,474,0,,0,,0,,0,,0
3298,male,5,GB,391,207,165,2,17,0,,0,,0,,0,,0,0,0.0,1,50.0,0,0.0,1,50.0,2,0,,0,,0,,0,,0,199,53.78,154,41.62,2,0.54,15,4.05,370,8,42.11,10,52.63,0,0.0,1,5.26,19,0,,0,,0,,0,,0
3312,female,5,US,388,68,249,2,69,0,,0,,0,,0,,0,0,0.0,5,100.0,0,0.0,0,0.0,5,0,,0,,0,,0,,0,7,12.5,24,42.86,2,3.57,23,41.07,56,61,18.65,220,67.28,0,0.0,46,14.07,327,0,,0,,0,,0,,0
3352,custom,5,US,479,381,47,14,37,0,,0,,0,,0,,0,0,0.0,1,50.0,1,50.0,0,0.0,2,0,,0,,0,,0,,0,41,75.93,10,18.52,1,1.85,2,3.7,54,340,80.38,36,8.51,12,2.84,35,8.27,423,0,,0,,0,,0,,0
3366,custom,5,GB,476,135,111,189,41,0,,0,,0,,0,,0,0,0.0,4,57.14,3,42.86,0,0.0,7,0,,0,,0,,0,,0,29,41.43,12,17.14,21,30.0,8,11.43,70,106,26.57,95,23.81,165,41.35,33,8.27,399,0,,0,,0,,0,,0
3390,female,5,US,267,74,154,31,8,0,,0,,0,,0,,0,1,2.7,31,83.78,0,0.0,5,13.51,37,0,,0,,0,,0,,0,19,44.19,23,53.49,1,2.33,0,0.0,43,54,28.88,100,53.48,30,16.04,3,1.6,187,0,,0,,0,,0,,0
3406,,5,US,670,183,254,107,126,0,,0,,0,,0,,0,2,3.85,5,9.62,42,80.77,3,5.77,52,0,,0,,0,,0,,0,5,6.49,39,50.65,15,19.48,18,23.38,77,176,32.53,210,38.82,50,9.24,105,19.41,541,0,,0,,0,,0,,0
3409,female,5,GB,447,40,332,14,61,0,,0,,0,,0,,0,1,4.0,22,88.0,2,8.0,0,0.0,25,0,,0,,0,,0,,0,10,6.17,129,79.63,2,1.23,21,12.96,162,29,11.15,181,69.62,10,3.85,40,15.38,260,0,,0,,0,,0,,0
3417,,5,US,587,256,263,10,58,0,,0,,0,,0,,0,5,4.35,102,88.7,4,3.48,4,3.48,115,0,,0,,0,,0,,0,145,80.11,30,16.57,0,0.0,6,3.31,181,106,36.43,131,45.02,6,2.06,48,16.49,291,0,,0,,0,,0,,0
3428,,5,GB,127,78,42,1,6,0,,0,,0,,0,,0,1,5.0,15,75.0,1,5.0,3,15.0,20,0,,0,,0,,0,,0,40,59.7,24,35.82,0,0.0,3,4.48,67,37,92.5,3,7.5,0,0.0,0,0.0,40,0,,0,,0,,0,,0
3446,female,5,US,230,47,171,5,7,0,,0,,0,,0,,0,1,5.56,17,94.44,0,0.0,0,0.0,18,0,,0,,0,,0,,0,38,26.03,102,69.86,2,1.37,4,2.74,146,8,12.12,52,78.79,3,4.55,3,4.55,66,0,,0,,0,,0,,0
3462,custom,5,US,629,128,391,65,45,0,,0,,0,,0,,0,5,6.41,68,87.18,2,2.56,3,3.85,78,0,,0,,0,,0,,0,35,33.65,54,51.92,12,11.54,3,2.88,104,88,19.69,269,60.18,51,11.41,39,8.72,447,0,,0,,0,,0,,0
3470,female,5,BR,537,81,358,14,84,0,,0,,0,,0,,0,3,6.98,33,76.74,4,9.3,3,6.98,43,0,,0,,0,,0,,0,9,12.16,56,75.68,1,1.35,8,10.81,74,69,16.43,269,64.05,9,2.14,73,17.38,420,0,,0,,0,,0,,0
3479,,5,GB,384,187,161,7,29,0,,0,,0,,0,,0,2,7.41,24,88.89,0,0.0,1,3.7,27,0,,0,,0,,0,,0,96,53.93,68,38.2,5,2.81,9,5.06,178,89,50.0,69,38.76,1,0.56,19,10.67,178,0,0.0,0,0.0,1,100.0,0,0.0,1
3482,female,5,US,791,90,611,70,20,0,,0,,0,,0,,0,2,7.41,18,66.67,7,25.93,0,0.0,27,0,,0,,0,,0,,0,6,4.41,126,92.65,3,2.21,1,0.74,136,82,13.06,467,74.36,60,9.55,19,3.03,628,0,,0,,0,,0,,0
3491,female,5,GB,3169,408,2633,53,75,0,,0,,0,,0,,0,2,7.69,22,84.62,1,3.85,1,3.85,26,0,,0,,0,,0,,0,365,12.74,2398,83.67,47,1.64,56,1.95,2866,41,14.8,213,76.9,5,1.81,18,6.5,277,0,,0,,0,,0,,0
