creator_assigned_number,creator_gender,most_uploaded_genre,creator_signup_country,total_play_count,total_play_count_male,total_play_count_female,total_play_count_custom_gender,total_play_count_null_gender,plays_by_males_BR,pct_plays_by_males_BR,plays_by_females_BR,pct_plays_by_females_BR,plays_by_custom_gender_BR,pct_plays_by_custom_gender_BR,plays_by_null_gender_BR,pct_plays_by_null_gender_BR,total_play_count_BR,plays_by_males_DE,pct_plays_by_males_DE,plays_by_females_DE,pct_plays_by_females_DE,plays_by_custom_gender_DE,pct_plays_by_custom_gender_DE,plays_by_null_gender_DE,pct_plays_by_null_gender_DE,total_play_count_DE,plays_by_males_EG,pct_plays_by_males_EG,plays_by_females_EG,pct_plays_by_females_EG,plays_by_custom_gender_EG,pct_plays_by_custom_gender_EG,plays_by_null_gender_EG,pct_plays_by_null_gender_EG,total_play_count_EG,plays_by_males_GB,pct_plays_by_males_GB,plays_by_females_GB,pct_plays_by_females_GB,plays_by_custom_gender_GB,pct_plays_by_custom_gender_GB,plays_by_null_gender_GB,pct_plays_by_null_gender_GB,total_play_count_GB,plays_by_males_US,pct_plays_by_males_US,plays_by_females_US,pct_plays_by_females_US,plays_by_custom_gender_US,pct_plays_by_custom_gender_US,plays_by_null_gender_US,pct_plays_by_null_gender_US,total_play_count_US,plays_by_males_VN,pct_plays_by_males_VN,plays_by_females_VN,pct_plays_by_females_VN,plays_by_custom_gender_VN,pct_plays_by_custom_gender_VN,plays_by_null_gender_VN,pct_plays_by_null_gender_VN,total_play_count_VN
18,male,5,US,159,141,13,2,3,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,55,100.0,0,0.0,0,0.0,0,0.0,55,86,82.69,13,12.5,2,1.92,3,2.88,104,0,,0,,0,,0,,0
32,,5,GB,211,154,52,5,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,144,71.64,52,25.87,5,2.49,0,0.0,201,10,100.0,0,0.0,0,0.0,0,0.0,10,0,,0,,0,,0,,0
54,,5,GB,220,71,117,0,32,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,71,32.27,117,53.18,0,0.0,32,14.55,220,0,,0,,0,,0,,0,0,,0,,0,,0,,0
112,female,5,GB,436,1,435,0,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,0.0,435,100.0,0,0.0,0,0.0,435,1,100.0,0,0.0,0,0.0,0,0.0,1,0,,0,,0,,0,,0
119,male,5,GB,625,520,65,5,35,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,515,83.6,65,10.55,1,0.16,35,5.68,616,5,55.56,0,0.0,4,44.44,0,0.0,9,0,,0,,0,,0,,0
225,male,5,US,128,104,20,0,4,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,46,68.66,19,28.36,0,0.0,2,2.99,67,58,95.08,1,1.64,0,0.0,2,3.28,61,0,,0,,0,,0,,0
251,male,5,GB,111,58,43,5,5,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,36,50.0,32,44.44,1,1.39,3,4.17,72,22,56.41,11,28.21,4,10.26,2,5.13,39,0,,0,,0,,0,,0
254,male,5,DE,216,80,108,6,22,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,7,17.5,32,80.0,0,0.0,1,2.5,40,73,41.48,76,43.18,6,3.41,21,11.93,176,0,,0,,0,,0,,0
268,,5,GB,285,10,259,2,14,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,10,3.51,259,90.88,2,0.7,14,4.91,285,0,,0,,0,,0,,0,0,,0,,0,,0,,0
285,male,5,US,229,104,114,0,11,0,,0,,0,,0,,0,0,,0,,0,,0,,0,0,,0,,0,,0,,0,19,42.22,26,57.78,0,0.0,0,0.0,45,85,46.2,88,47.83,0,0.0,11,5.98,184,0,,0,,0,,0,,0
